,지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
5,4211000000,춘천,64,-6,0,0,36,-14,0,6,풋고추,PA350301,청양고추,,0,2001-01-06 00:00:00
12,4427000000,당진,0,0,3,1,0,-1,12,0,풋고추,PA350201,꽈리고추,,0,2001-01-07 00:00:00
13,4211000000,춘천,83,0,2,1,55,-2,16,0,풋고추,PA350101,풋고추,,0,2001-01-07 00:00:00
12,4617000000,나주,0,5,1,8,0,0,9,0,풋고추,PA350101,풋고추,,0,2001-01-07 00:00:00
6,4211000000,춘천,83,0,2,1,55,-2,16,0,풋고추,PA350301,청양고추,,0,2001-01-07 00:00:00
13,4211000000,춘천,83,0,2,1,55,-2,16,0,풋고추,PA350201,꽈리고추,,0,2001-01-07 00:00:00
7,4211000000,춘천,79,0,1,3,59,-5,2,2,풋고추,PA350301,청양고추,,0,2001-01-08 00:00:00
15,4211000000,춘천,79,0,1,3,59,-5,2,2,풋고추,PA350101,풋고추,,0,2001-01-08 00:00:00
14,4617000000,나주,0,6,1,11,0,2,0,0,풋고추,PA350101,풋고추,,0,2001-01-08 00:00:00
14,4427000000,당진,0,0,1,6,0,-3,23,0,풋고추,PA350201,꽈리고추,,0,2001-01-08 00:00:00
15,4211000000,춘천,79,0,1,3,59,-5,2,2,풋고추,PA350201,꽈리고추,,0,2001-01-08 00:00:00
17,4211000000,춘천,83,0,1,1,62,-3,5,0,풋고추,PA350101,풋고추,,0,2001-01-09 00:00:00
16,4617000000,나주,0,4,2,7,0,0,0,0,풋고추,PA350101,풋고추,,0,2001-01-09 00:00:00
8,4211000000,춘천,83,0,1,1,62,-3,5,0,풋고추,PA350301,청양고추,,0,2001-01-09 00:00:00
16,4427000000,당진,0,0,3,1,0,-4,11,0,풋고추,PA350201,꽈리고추,,0,2001-01-09 00:00:00
17,4211000000,춘천,83,0,1,1,62,-3,5,0,풋고추,PA350201,꽈리고추,,0,2001-01-09 00:00:00
19,4211000000,춘천,72,-7,0,-1,39,-13,0,7,풋고추,PA350101,풋고추,,0,2001-01-10 00:00:00
18,4617000000,나주,0,0,1,4,0,-3,0,0,풋고추,PA350101,풋고추,,0,2001-01-10 00:00:00
18,4427000000,당진,0,-5,1,0,0,-11,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-10 00:00:00
19,4211000000,춘천,72,-7,0,-1,39,-13,0,7,풋고추,PA350201,꽈리고추,,0,2001-01-10 00:00:00
9,4211000000,춘천,72,-7,0,-1,39,-13,0,7,풋고추,PA350301,청양고추,,0,2001-01-10 00:00:00
20,4427000000,당진,0,-6,3,0,0,-11,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-11 00:00:00
21,4211000000,춘천,54,-8,2,-3,28,-16,1,8,풋고추,PA350201,꽈리고추,,0,2001-01-11 00:00:00
20,4617000000,나주,0,0,1,4,0,-2,0,0,풋고추,PA350101,풋고추,,0,2001-01-11 00:00:00
21,4211000000,춘천,54,-8,2,-3,28,-16,1,8,풋고추,PA350101,풋고추,,0,2001-01-11 00:00:00
10,4211000000,춘천,54,-8,2,-3,28,-16,1,8,풋고추,PA350301,청양고추,,0,2001-01-11 00:00:00
22,4427000000,당진,0,-11,1,-7,0,-16,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-12 00:00:00
23,4211000000,춘천,60,-15,0,-8,26,-22,0,7,풋고추,PA350201,꽈리고추,,0,2001-01-12 00:00:00
22,4617000000,나주,0,-2,2,1,0,-5,0,0,풋고추,PA350101,풋고추,,0,2001-01-12 00:00:00
23,4211000000,춘천,60,-15,0,-8,26,-22,0,7,풋고추,PA350101,풋고추,,0,2001-01-12 00:00:00
11,4211000000,춘천,60,-15,0,-8,26,-22,0,7,풋고추,PA350301,청양고추,,0,2001-01-12 00:00:00
12,4211000000,춘천,58,-12,1,-5,25,-18,0,6,풋고추,PA350301,청양고추,,0,2001-01-13 00:00:00
24,4427000000,당진,0,-8,3,-5,0,-12,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-13 00:00:00
25,4211000000,춘천,58,-12,1,-5,25,-18,0,6,풋고추,PA350101,풋고추,,0,2001-01-13 00:00:00
24,4617000000,나주,0,-2,2,2,0,-5,0,0,풋고추,PA350101,풋고추,,0,2001-01-13 00:00:00
25,4211000000,춘천,58,-12,1,-5,25,-18,0,6,풋고추,PA350201,꽈리고추,,0,2001-01-13 00:00:00
13,4211000000,춘천,55,-16,1,-9,24,-23,0,7,풋고추,PA350301,청양고추,,0,2001-01-14 00:00:00
27,4211000000,춘천,55,-16,1,-9,24,-23,0,7,풋고추,PA350101,풋고추,,0,2001-01-14 00:00:00
26,4617000000,나주,0,-7,1,-3,0,-10,0,0,풋고추,PA350101,풋고추,,0,2001-01-14 00:00:00
27,4211000000,춘천,55,-16,1,-9,24,-23,0,7,풋고추,PA350201,꽈리고추,,0,2001-01-14 00:00:00
26,4427000000,당진,0,-11,5,-8,0,-13,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-14 00:00:00
29,4211000000,춘천,58,-18,1,-10,26,-24,0,8,풋고추,PA350101,풋고추,,0,2001-01-15 00:00:00
28,4617000000,나주,0,-8,1,-5,0,-11,12,0,풋고추,PA350101,풋고추,,0,2001-01-15 00:00:00
14,4211000000,춘천,58,-18,1,-10,26,-24,0,8,풋고추,PA350301,청양고추,,0,2001-01-15 00:00:00
28,4427000000,당진,0,-13,2,-9,0,-18,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-15 00:00:00
29,4211000000,춘천,58,-18,1,-10,26,-24,0,8,풋고추,PA350201,꽈리고추,,0,2001-01-15 00:00:00
15,4211000000,춘천,63,-17,0,-8,28,-24,0,8,풋고추,PA350301,청양고추,,0,2001-01-16 00:00:00
31,4211000000,춘천,63,-17,0,-8,28,-24,0,8,풋고추,PA350101,풋고추,,0,2001-01-16 00:00:00
30,4617000000,나주,0,-7,1,-1,0,-12,12,0,풋고추,PA350101,풋고추,,0,2001-01-16 00:00:00
30,4427000000,당진,0,-14,1,-7,0,-19,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-16 00:00:00
31,4211000000,춘천,63,-17,0,-8,28,-24,0,8,풋고추,PA350201,꽈리고추,,0,2001-01-16 00:00:00
16,4211000000,춘천,65,-13,0,-6,35,-22,0,6,풋고추,PA350301,청양고추,,0,2001-01-17 00:00:00
32,4617000000,나주,0,-5,0,2,0,-11,0,0,풋고추,PA350101,풋고추,,0,2001-01-17 00:00:00
33,4211000000,춘천,65,-13,0,-6,35,-22,0,6,풋고추,PA350201,꽈리고추,,0,2001-01-17 00:00:00
32,4427000000,당진,0,-10,1,-3,0,-19,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-17 00:00:00
33,4211000000,춘천,65,-13,0,-6,35,-22,0,6,풋고추,PA350101,풋고추,,0,2001-01-17 00:00:00
35,4211000000,춘천,81,-4,0,1,58,-9,0,3,풋고추,PA350101,풋고추,,0,2001-01-18 00:00:00
17,4211000000,춘천,81,-4,0,1,58,-9,0,3,풋고추,PA350301,청양고추,,0,2001-01-18 00:00:00
34,4617000000,나주,0,-1,0,7,0,-9,12,0,풋고추,PA350101,풋고추,,0,2001-01-18 00:00:00
35,4211000000,춘천,81,-4,0,1,58,-9,0,3,풋고추,PA350201,꽈리고추,,0,2001-01-18 00:00:00
34,4427000000,당진,0,0,1,7,0,-6,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-18 00:00:00
36,4211000000,춘천,81,-4,0,0,60,-10,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-19 00:00:00
18,4211000000,춘천,81,-4,0,0,60,-10,0,0,풋고추,PA350301,청양고추,,0,2001-01-19 00:00:00
36,4211000000,춘천,81,-4,0,0,60,-10,0,0,풋고추,PA350101,풋고추,,0,2001-01-19 00:00:00
37,4617000000,나주,0,1,1,4,0,-4,0,0,풋고추,PA350101,풋고추,,0,2001-01-19 00:00:00
37,4427000000,당진,0,-2,0,3,0,-8,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-19 00:00:00
19,4211000000,춘천,84,-1,0,4,61,-6,0,2,풋고추,PA350301,청양고추,,0,2001-01-20 00:00:00
38,4427000000,당진,0,0,1,1,0,-3,2,0,풋고추,PA350201,꽈리고추,,0,2001-01-20 00:00:00
38,4617000000,나주,0,4,2,8,0,0,28,0,풋고추,PA350101,풋고추,,0,2001-01-20 00:00:00
39,4211000000,춘천,84,-1,0,4,61,-6,0,2,풋고추,PA350101,풋고추,,0,2001-01-20 00:00:00
39,4211000000,춘천,84,-1,0,4,61,-6,0,2,풋고추,PA350201,꽈리고추,,0,2001-01-20 00:00:00
41,4211000000,춘천,81,-5,0,2,44,-10,0,6,풋고추,PA350101,풋고추,,0,2001-01-21 00:00:00
20,4211000000,춘천,81,-5,0,2,44,-10,0,6,풋고추,PA350301,청양고추,,0,2001-01-21 00:00:00
41,4211000000,춘천,81,-5,0,2,44,-10,0,6,풋고추,PA350201,꽈리고추,,0,2001-01-21 00:00:00
40,4427000000,당진,0,-2,0,4,0,-7,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-21 00:00:00
40,4617000000,나주,0,2,1,6,0,-2,0,0,풋고추,PA350101,풋고추,,0,2001-01-21 00:00:00
43,4617000000,나주,0,2,1,8,0,-1,12,0,풋고추,PA350101,풋고추,,0,2001-01-22 00:00:00
21,4211000000,춘천,80,-6,0,0,53,-10,0,2,풋고추,PA350301,청양고추,,0,2001-01-22 00:00:00
43,4427000000,당진,0,-3,0,1,0,-7,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-22 00:00:00
42,4211000000,춘천,80,-6,0,0,53,-10,0,2,풋고추,PA350201,꽈리고추,,0,2001-01-22 00:00:00
42,4211000000,춘천,80,-6,0,0,53,-10,0,2,풋고추,PA350101,풋고추,,0,2001-01-22 00:00:00
45,4617000000,나주,0,1,1,6,0,-3,0,0,풋고추,PA350101,풋고추,,0,2001-01-23 00:00:00
22,4211000000,춘천,72,-6,0,3,26,-11,0,6,풋고추,PA350301,청양고추,,0,2001-01-23 00:00:00
44,4211000000,춘천,72,-6,0,3,26,-11,0,6,풋고추,PA350101,풋고추,,0,2001-01-23 00:00:00
44,4211000000,춘천,72,-6,0,3,26,-11,0,6,풋고추,PA350201,꽈리고추,,0,2001-01-23 00:00:00
45,4427000000,당진,0,-6,0,-1,0,-11,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-23 00:00:00
46,4211000000,춘천,73,-5,0,0,45,-12,0,2,풋고추,PA350201,꽈리고추,,0,2001-01-24 00:00:00
23,4211000000,춘천,73,-5,0,0,45,-12,0,2,풋고추,PA350301,청양고추,,0,2001-01-24 00:00:00
47,4427000000,당진,0,-2,1,4,0,-10,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-24 00:00:00
46,4211000000,춘천,73,-5,0,0,45,-12,0,2,풋고추,PA350101,풋고추,,0,2001-01-24 00:00:00
47,4617000000,나주,0,3,2,7,0,0,0,0,풋고추,PA350101,풋고추,,0,2001-01-24 00:00:00
48,4617000000,나주,0,5,1,8,0,2,0,0,풋고추,PA350101,풋고추,,0,2001-01-25 00:00:00
49,4211000000,춘천,63,0,1,7,31,-6,0,7,풋고추,PA350101,풋고추,,0,2001-01-25 00:00:00
48,4427000000,당진,0,0,1,4,0,-4,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-25 00:00:00
24,4211000000,춘천,63,0,1,7,31,-6,0,7,풋고추,PA350301,청양고추,,0,2001-01-25 00:00:00
49,4211000000,춘천,63,0,1,7,31,-6,0,7,풋고추,PA350201,꽈리고추,,0,2001-01-25 00:00:00
50,4617000000,나주,0,5,1,8,0,1,0,0,풋고추,PA350101,풋고추,,0,2001-01-26 00:00:00
51,4211000000,춘천,57,0,1,1,40,-3,0,0,풋고추,PA350101,풋고추,,0,2001-01-26 00:00:00
25,4211000000,춘천,57,0,1,1,40,-3,0,0,풋고추,PA350301,청양고추,,0,2001-01-26 00:00:00
50,4427000000,당진,0,1,4,3,0,0,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-26 00:00:00
51,4211000000,춘천,57,0,1,1,40,-3,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-26 00:00:00
52,4211000000,춘천,80,0,1,3,58,-3,1,1,풋고추,PA350201,꽈리고추,,0,2001-01-27 00:00:00
53,4427000000,당진,0,0,2,1,0,-2,3,0,풋고추,PA350201,꽈리고추,,0,2001-01-27 00:00:00
53,4617000000,나주,0,2,1,6,0,0,4,0,풋고추,PA350101,풋고추,,0,2001-01-27 00:00:00
26,4211000000,춘천,80,0,1,3,58,-3,1,1,풋고추,PA350301,청양고추,,0,2001-01-27 00:00:00
52,4211000000,춘천,80,0,1,3,58,-3,1,1,풋고추,PA350101,풋고추,,0,2001-01-27 00:00:00
55,4211000000,춘천,48,-2,2,0,29,-7,0,6,풋고추,PA350201,꽈리고추,,0,2001-01-28 00:00:00
54,4427000000,당진,0,-3,4,0,0,-6,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-28 00:00:00
27,4211000000,춘천,48,-2,2,0,29,-7,0,6,풋고추,PA350301,청양고추,,0,2001-01-28 00:00:00
55,4211000000,춘천,48,-2,2,0,29,-7,0,6,풋고추,PA350101,풋고추,,0,2001-01-28 00:00:00
54,4617000000,나주,0,0,1,4,0,-1,4,0,풋고추,PA350101,풋고추,,0,2001-01-28 00:00:00
57,4427000000,당진,0,-3,2,3,0,-10,0,0,풋고추,PA350201,꽈리고추,,0,2001-01-29 00:00:00
28,4211000000,춘천,75,-8,0,0,45,-14,0,6,풋고추,PA350301,청양고추,,0,2001-01-29 00:00:00
57,4617000000,나주,0,0,0,5,0,-4,0,0,풋고추,PA350101,풋고추,,0,2001-01-29 00:00:00
56,4211000000,춘천,75,-8,0,0,45,-14,0,6,풋고추,PA350101,풋고추,,0,2001-01-29 00:00:00
56,4211000000,춘천,75,-8,0,0,45,-14,0,6,풋고추,PA350201,꽈리고추,,0,2001-01-29 00:00:00
59,4427000000,당진,0,-4,0,3,0,-9,2,0,풋고추,PA350201,꽈리고추,,0,2001-01-30 00:00:00
59,4617000000,나주,0,1,0,7,0,-2,0,0,풋고추,PA350101,풋고추,,0,2001-01-30 00:00:00
58,4211000000,춘천,69,-3,0,3,27,-10,0,8,풋고추,PA350101,풋고추,,0,2001-01-30 00:00:00
29,4211000000,춘천,69,-3,0,3,27,-10,0,8,풋고추,PA350301,청양고추,,0,2001-01-30 00:00:00
58,4211000000,춘천,69,-3,0,3,27,-10,0,8,풋고추,PA350201,꽈리고추,,0,2001-01-30 00:00:00
61,4617000000,나주,0,2,0,6,0,-2,0,0,풋고추,PA350101,풋고추,,0,2001-01-31 00:00:00
60,4211000000,춘천,84,-4,0,-1,67,-8,4,0,풋고추,PA350201,꽈리고추,,0,2001-01-31 00:00:00
30,4211000000,춘천,84,-4,0,-1,67,-8,4,0,풋고추,PA350301,청양고추,,0,2001-01-31 00:00:00
61,4427000000,당진,0,-1,2,3,0,-9,2,0,풋고추,PA350201,꽈리고추,,0,2001-01-31 00:00:00
60,4211000000,춘천,84,-4,0,-1,67,-8,4,0,풋고추,PA350101,풋고추,,0,2001-01-31 00:00:00
62,4211000000,춘천,54,-6,2,0,18,-15,0,8,풋고추,PA350101,풋고추,,0,2001-02-01 00:00:00
63,4617000000,나주,0,0,3,5,0,-3,0,0,풋고추,PA350101,풋고추,,0,2001-02-01 00:00:00
31,4211000000,춘천,54,-6,2,0,18,-15,0,8,풋고추,PA350301,청양고추,,0,2001-02-01 00:00:00
63,4427000000,당진,0,-4,5,1,0,-7,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-01 00:00:00
62,4211000000,춘천,54,-6,2,0,18,-15,0,8,풋고추,PA350201,꽈리고추,,0,2001-02-01 00:00:00
64,4211000000,춘천,73,-9,0,-2,26,-18,0,4,풋고추,PA350201,꽈리고추,,0,2001-02-02 00:00:00
65,4427000000,당진,0,-5,2,-1,0,-14,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-02 00:00:00
64,4211000000,춘천,73,-9,0,-2,26,-18,0,4,풋고추,PA350101,풋고추,,0,2001-02-02 00:00:00
65,4617000000,나주,0,-2,1,4,0,-7,12,0,풋고추,PA350101,풋고추,,0,2001-02-02 00:00:00
32,4211000000,춘천,73,-9,0,-2,26,-18,0,4,풋고추,PA350301,청양고추,,0,2001-02-02 00:00:00
66,4211000000,춘천,76,-3,0,2,50,-11,0,4,풋고추,PA350101,풋고추,,0,2001-02-03 00:00:00
67,4617000000,나주,0,1,0,7,0,-5,0,0,풋고추,PA350101,풋고추,,0,2001-02-03 00:00:00
66,4211000000,춘천,76,-3,0,2,50,-11,0,4,풋고추,PA350201,꽈리고추,,0,2001-02-03 00:00:00
67,4427000000,당진,0,-1,1,3,0,-6,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-03 00:00:00
33,4211000000,춘천,76,-3,0,2,50,-11,0,4,풋고추,PA350301,청양고추,,0,2001-02-03 00:00:00
68,4211000000,춘천,78,-2,0,6,45,-7,0,6,풋고추,PA350201,꽈리고추,,0,2001-02-04 00:00:00
69,4427000000,당진,0,0,0,5,0,-3,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-04 00:00:00
34,4211000000,춘천,78,-2,0,6,45,-7,0,6,풋고추,PA350301,청양고추,,0,2001-02-04 00:00:00
69,4617000000,나주,0,4,0,10,0,0,0,0,풋고추,PA350101,풋고추,,0,2001-02-04 00:00:00
68,4211000000,춘천,78,-2,0,6,45,-7,0,6,풋고추,PA350101,풋고추,,0,2001-02-04 00:00:00
70,4211000000,춘천,77,-1,0,6,37,-8,0,6,풋고추,PA350101,풋고추,,0,2001-02-05 00:00:00
71,4617000000,나주,0,5,1,13,0,-1,0,0,풋고추,PA350101,풋고추,,0,2001-02-05 00:00:00
71,4427000000,당진,0,-1,1,3,0,-7,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-05 00:00:00
70,4211000000,춘천,77,-1,0,6,37,-8,0,6,풋고추,PA350201,꽈리고추,,0,2001-02-05 00:00:00
35,4211000000,춘천,77,-1,0,6,37,-8,0,6,풋고추,PA350301,청양고추,,0,2001-02-05 00:00:00
72,4211000000,춘천,75,0,1,4,58,-4,0,1,풋고추,PA350201,꽈리고추,,0,2001-02-06 00:00:00
73,4427000000,당진,0,0,1,4,0,-2,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-06 00:00:00
73,4617000000,나주,0,6,1,10,0,3,12,0,풋고추,PA350101,풋고추,,0,2001-02-06 00:00:00
72,4211000000,춘천,75,0,1,4,58,-4,0,1,풋고추,PA350101,풋고추,,0,2001-02-06 00:00:00
36,4211000000,춘천,75,0,1,4,58,-4,0,1,풋고추,PA350301,청양고추,,0,2001-02-06 00:00:00
75,4211000000,춘천,54,0,1,4,22,-6,0,6,풋고추,PA350201,꽈리고추,,0,2001-02-07 00:00:00
37,4211000000,춘천,54,0,1,4,22,-6,0,6,풋고추,PA350301,청양고추,,0,2001-02-07 00:00:00
75,4211000000,춘천,54,0,1,4,22,-6,0,6,풋고추,PA350101,풋고추,,0,2001-02-07 00:00:00
74,4617000000,나주,0,1,2,5,0,-1,2,0,풋고추,PA350101,풋고추,,0,2001-02-07 00:00:00
74,4427000000,당진,0,-3,4,0,0,-6,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-07 00:00:00
38,4211000000,춘천,52,-5,1,0,18,-12,0,8,풋고추,PA350301,청양고추,,0,2001-02-08 00:00:00
77,4617000000,나주,0,-1,2,2,0,-4,12,0,풋고추,PA350101,풋고추,,0,2001-02-08 00:00:00
76,4211000000,춘천,52,-5,1,0,18,-12,0,8,풋고추,PA350101,풋고추,,0,2001-02-08 00:00:00
77,4427000000,당진,0,-5,1,0,0,-12,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-08 00:00:00
76,4211000000,춘천,52,-5,1,0,18,-12,0,8,풋고추,PA350201,꽈리고추,,0,2001-02-08 00:00:00
78,4211000000,춘천,68,-2,1,2,37,-5,0,2,풋고추,PA350101,풋고추,,0,2001-02-09 00:00:00
79,4427000000,당진,0,-1,2,3,0,-8,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-09 00:00:00
78,4211000000,춘천,68,-2,1,2,37,-5,0,2,풋고추,PA350201,꽈리고추,,0,2001-02-09 00:00:00
39,4211000000,춘천,68,-2,1,2,37,-5,0,2,풋고추,PA350301,청양고추,,0,2001-02-09 00:00:00
79,4617000000,나주,0,0,0,5,0,-6,0,0,풋고추,PA350101,풋고추,,0,2001-02-09 00:00:00
81,4211000000,춘천,53,-4,1,2,21,-10,0,7,풋고추,PA350201,꽈리고추,,0,2001-02-10 00:00:00
81,4211000000,춘천,53,-4,1,2,21,-10,0,7,풋고추,PA350101,풋고추,,0,2001-02-10 00:00:00
80,4617000000,나주,0,0,0,9,0,-4,0,0,풋고추,PA350101,풋고추,,0,2001-02-10 00:00:00
80,4427000000,당진,0,-4,0,2,0,-9,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-10 00:00:00
40,4211000000,춘천,53,-4,1,2,21,-10,0,7,풋고추,PA350301,청양고추,,0,2001-02-10 00:00:00
41,4211000000,춘천,46,-4,1,2,14,-11,0,7,풋고추,PA350301,청양고추,,0,2001-02-11 00:00:00
83,4211000000,춘천,46,-4,1,2,14,-11,0,7,풋고추,PA350101,풋고추,,0,2001-02-11 00:00:00
82,4617000000,나주,0,1,1,5,0,-4,0,0,풋고추,PA350101,풋고추,,0,2001-02-11 00:00:00
82,4427000000,당진,0,-3,2,-1,0,-7,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-11 00:00:00
83,4211000000,춘천,46,-4,1,2,14,-11,0,7,풋고추,PA350201,꽈리고추,,0,2001-02-11 00:00:00
42,4211000000,춘천,41,-3,1,2,15,-7,0,8,풋고추,PA350301,청양고추,,0,2001-02-12 00:00:00
84,4211000000,춘천,41,-3,1,2,15,-7,0,8,풋고추,PA350101,풋고추,,0,2001-02-12 00:00:00
85,4617000000,나주,0,0,2,2,0,0,0,0,풋고추,PA350101,풋고추,,0,2001-02-12 00:00:00
84,4211000000,춘천,41,-3,1,2,15,-7,0,8,풋고추,PA350201,꽈리고추,,0,2001-02-12 00:00:00
85,4427000000,당진,0,-5,2,-2,0,-6,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-12 00:00:00
86,4211000000,춘천,48,-4,1,2,17,-7,0,4,풋고추,PA350201,꽈리고추,,0,2001-02-13 00:00:00
87,4427000000,당진,0,-4,3,-2,0,-8,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-13 00:00:00
43,4211000000,춘천,48,-4,1,2,17,-7,0,4,풋고추,PA350301,청양고추,,0,2001-02-13 00:00:00
87,4617000000,나주,0,0,2,4,0,-2,0,0,풋고추,PA350101,풋고추,,0,2001-02-13 00:00:00
86,4211000000,춘천,48,-4,1,2,17,-7,0,4,풋고추,PA350101,풋고추,,0,2001-02-13 00:00:00
89,4211000000,춘천,51,-5,1,1,22,-11,0,9,풋고추,PA350101,풋고추,,0,2001-02-14 00:00:00
88,4427000000,당진,0,-4,1,0,0,-9,0,0,풋고추,PA350201,꽈리고추,,0,2001-02-14 00:00:00
89,4211000000,춘천,51,-5,1,1,22,-11,0,9,풋고추,PA350201,꽈리고추,,0,2001-02-14 00:00:00
88,4617000000,나주,0,0,1,4,0,-5,0,0,풋고추,PA350101,풋고추,,0,2001-02-14 00:00:00
44,4211000000,춘천,51,-5,1,1,22,-11,0,9,풋고추,PA350301,청양고추,,0,2001-02-14 00:00:00
90,4211000000,춘천,86,-6,0,-4,71,-8,10,0,풋고추,PA350201,꽈리고추,,0,2001-02-15 00:00:00
91,4427000000,당진,0,-1,0,3,0,-8,14,0,풋고추,PA350201,꽈리고추,,0,2001-02-15 00:00:00
45,4211000000,춘천,86,-6,0,-4,71,-8,10,0,풋고추,PA350301,청양고추,,0,2001-02-15 00:00:00
